ID_Componente;Tipo_Elemento;Nombre_Sistema;Descripcion;Clasificacion_ABB_SBB;Fabricante_Proveedor;Version;Estado_Ciclo_Vida;Tipo_Despliegue;Propietario_Negocio;Lider_Tecnico;Servicios_Negocio_Soportados;Entidades_Datos_Consumidas ->;Entidades_Datos_Creadas ->
APP-ABB-V1-001;Logical Application Component;Paquete funcional Contexto General CRM-Core;Componente logico de software (regla: columna paquete funcional) para orquestacion OmniStudio e integracion ESB/Core. Contexto usado: descripcion tecnica, criterio de aceptacion y evidencia de Vista 1.;ABB;N/A;N/A;En Desarrollo;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Orquestacion comercial y operativa CRM-Core;Account, Opportunity, Asset;Trazas de integracion WS
APP-SBB-V1-001;Physical Application Component;Entregable CRM Capa OmniStudio + IP + CobisCaller;Componente fisico de software CRM (regla: columna entregable). Evidencia Vista 1: OmniScript/FlexCard, Integration Procedures, chokepoint FCC_UT_CobisCaller, ESB por systemId.;SBB;Salesforce;PENDIENTE_VALIDAR;En Desarrollo;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Atencion asesor y salida integrada al core;Account, Opportunity, Asset;Solicitudes core y eventos de log
APP-ABB-V2-001;Logical Application Component;Paquete funcional Guardado Oportunidad AVC;Componente logico para guardado, validacion de listas y envio a originacion AVC. Contexto Vista 2 (descripcion tecnica, criterio y evidencia).;ABB;N/A;N/A;En Desarrollo;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Guardado de oportunidad y prevalidaciones;Opportunity, listas restrictivas;Opportunity validada
APP-SBB-V2-001;Physical Application Component;Entregable CRM OSOportunidad_AVC v32 + SaveOppN2 v6;Componente fisico CRM de guardado Opportunity y orquestacion de validacion Vigia/enviado COBIS.;SBB;Salesforce;v32/v6;En Desarrollo;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Originacion AVC y materializacion de Asset;Opportunity, criterios de validacion;Asset AVC
APP-ABB-V3-001;Logical Application Component;Paquete funcional Lead Prospecto a Person Account;Componente logico para captura, calificacion, validacion de listas y conversion a Person Account.;ABB;N/A;N/A;En Desarrollo;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Captura y conversion de prospectos;Lead, reglas vigia;Person Account
APP-SBB-V3-001;Physical Application Component;Entregable CRM OSProspecto v27 + LeadConversionService;Componente fisico CRM para conversion de Lead a Person Account y apertura de Hub.;SBB;Salesforce;v27;En Desarrollo;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Calificacion y conversion comercial;Lead PN/PJ, listas inhibitorias;Person Account y relacionados
APP-ABB-V4-001;Logical Application Component;Paquete funcional Actualizacion Cuenta con Biometria;Componente logico de ruteo, control de identidad y persistencia de actualizacion de cuenta.;ABB;N/A;N/A;En Desarrollo;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Actualizacion de datos de cliente;Account, Politica biometria;Account actualizado
APP-SBB-V4-001;Physical Application Component;Entregable CRM Router/Controller + OS v54 + IP Guardar v10;Componente fisico CRM para ruteo fail-closed, biometria y guardado DR Load en Account/FN1_Ubicacion__c.;SBB;Salesforce;v54/v10;En Desarrollo;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Actualizacion segura de cuenta;Account, permisos biometria;Account, FN1_Ubicacion__c
APP-ABB-V5-001;Logical Application Component;Paquete funcional Cadena de Callout COBIS ESB;Componente logico para reglas pre-callout, salida unica y trazabilidad WS.;ABB;N/A;N/A;En Desarrollo;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Integracion SOAP gobernada;SOAP envelope, systemId;LogWs de transacciones
APP-SBB-V5-001;Physical Application Component;Entregable CRM Gateway/IP + CobisCaller + LogWs;Componente fisico CRM para llamadas SOAP via ESB y trazabilidad por Platform Event/FN1_LogWs__c.;SBB;Salesforce;PENDIENTE_VALIDAR;En Desarrollo;Hibrido;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Interoperabilidad COBIS/VIGIA y auditoria;Request SOAP, parametros systemId;Logs WS y respuestas core
APP-ABB-V6-001;Logical Application Component;Paquete funcional Capa Transversal UI y Orquestacion;Componente logico para UI declarativa, LWC base, OmniProcess, DataRaptors y automatizacion.;ABB;N/A;N/A;En Desarrollo;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Operacion transversal CRM;Layouts, RecordTypes, configuracion CMDT;Datos transformados para procesos
APP-SBB-V6-001;Physical Application Component;Entregable CRM FlexiPages/Layouts + OmniProcess + DataRaptors;Componente fisico CRM transversal con 16 FlexiPages, 79 OmniProcess, 163 Data Mappers y 34 LWC base.;SBB;Salesforce;PENDIENTE_VALIDAR;En Desarrollo;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Capacidades transversales de UX e integracion;Metadatos UI, configuracion soporte;Registros operativos estandarizados
APP-ABB-V7-001;Logical Application Component;Paquete funcional Entrega y Reconciliacion de Ambientes;Componente logico de promocion Cert-Prod, reconciliacion y cierre de items abiertos.;ABB;N/A;N/A;En Desarrollo;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Gobierno de despliegues y estabilizacion;Inventario de settings, flujos, colas;Estado de operacion productiva
APP-SBB-V7-001;Physical Application Component;Entregable CRM Pipeline CertProd + Reconciliacion 47 CallOutSettings;Componente fisico CRM para build, despliegue, remediacion y operacion productiva de FNAProdNew.;SBB;Salesforce;PENDIENTE_VALIDAR;En Desarrollo;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Entrega controlada de releases CRM;CallOutSettings, RemoteSite, queues;Configuracion productiva reconciliada
