ID_Componente;Tipo_Elemento;Nombre_Sistema;Descripcion;Clasificacion_ABB_SBB;Fabricante_Proveedor;Version;Estado_Ciclo_Vida;Tipo_Despliegue;Propietario_Negocio;Lider_Tecnico;Servicios_Negocio_Soportados;Entidades_Datos_Consumidas ->;Entidades_Datos_Creadas ->
APP-ABB-V4-001;Logical Application Component;Paquete funcional Actualización de Cuenta con ruteo biometría;Componente lógico derivado de la tabla tblElementosTecnicos de la página extracción técnica. Agrupa la decisión de ruta, la validación de identidad y la persistencia de la actualización.;ABB;N/A;N/A;PENDIENTE_VALIDAR;N/A;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Actualización de cuenta con validación de identidad;Perfil Cliente, Política de biometría;Solicitud de actualización de cuenta
APP-SBB-V4-001;Physical Application Component;Entregable CRM LWC ActualizarCuentaRouter;Componente técnico de entrada de la página extracción técnica. Representa el punto de acceso URL-addressable que inicia el flujo de actualización de cuenta.;SBB;Salesforce;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Entrada y ruteo de actualización;Perfil Cliente;Evento de ruteo inicial
APP-SBB-V4-002;Physical Application Component;Entregable CRM RoutingController fail-closed;Componente técnico de decisión de ruta y política de seguridad de la extracción técnica. Define la regla fail-closed y exige validación biométrica cuando aplica.;SBB;Salesforce;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Control de ruta y política de acceso;Permisos de usuario, Perfil biométrico;Decisión de ruta
APP-SBB-V4-003;Physical Application Component;Entregable CRM OS ActualizarCuentaPorBiometria v11;Orquestador técnico para verificación de identidad antes de editar datos del cliente. Corresponde al elemento registrado en la tabla tblElementosTecnicos como verificación biométrica.;SBB;Salesforce;v11;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Verificación de identidad por biometría;Datos de identidad, Parámetros de confronta;Resultado de verificación biométrica
APP-SBB-V4-004;Physical Application Component;Entregable CRM OS ActualizarCuenta v54 e IP Guardar v10;Componente técnico para actualización y almacenamiento de la cuenta. Se asocia a la capa de persistencia indicada en la extracción técnica.;SBB;Salesforce;v54 / v10;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Actualización y guardado de datos de cuenta;Account actual, Ubicación actual;Account, FN1_Ubicacion__c
APP-SBB-V4-005;Physical Application Component;Entregable CRM modificarInfoBasica COBIS;Integración técnica con COBIS para sincronización de información básica. Se registra como elemento de integración del catálogo técnico.;SBB;Salesforce + COBIS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Híbrido;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Sincronización de información básica con core;Datos de cuenta validados;Solicitud modificarInfoBasica
APP-SBB-V4-006;Physical Application Component;Entregable CRM Permset UsuariosNecesitanBiometria;Permiso técnico asociado a la validación biométrica. Se usa como control de acceso y cumplimiento de política de identidad en la extracción técnica.;SBB;Salesforce;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Control de acceso y cumplimiento de política biométrica;Permisos de usuario, política de identidad;Autorización para actualización segura
APP-SBB-V4-007;Physical Application Component;Entregable CRM Account y FN1_Ubicacion__c;Entidades técnicas de destino para la persistencia final de la actualización. Se registran como datos objetivo en la extracción técnica.;SBB;Salesforce;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Persistencia y trazabilidad de la actualización de cuenta;Account actual, ubicación actual;Account, FN1_Ubicacion__c
APP-SBB-V4-008;Physical Application Component;Entregable CRM Biometría / Confronta;Servicio técnico de verificación de identidad dentro de la extracción técnica. Se usa como etapa de validación antes de la edición del dato principal.;SBB;Salesforce;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Validación de identidad y cumplimiento de política;Datos biométricos, parámetros de confronta;Resultado de verificación biométrica
APP-SBB-V4-009;Physical Application Component;Entregable CRM DR Load Account/FN1_Ubicacion__c;Capa técnica de persistencia de la actualización de cuenta. Se identifica en la extracción técnica como operación de carga final sobre Account y FN1_Ubicacion__c.;SBB;Salesforce;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;SaaS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Persistencia de datos y trazabilidad de actualización;Account actual, ubicación actual;Account, FN1_Ubicacion__c
APP-SBB-V4-010;Physical Application Component;Entregable CRM Gateway Http.send propio COBIS;Integración técnica de envío directo a COBIS para sincronización de información básica. Corresponde a la llamada directa registrada en la tabla tblElementosTecnicos.;SBB;Salesforce + COBIS;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Híbrido;PENDIENTE_VALIDAR;PENDIENTE_VALIDAR;Sincronización básica con core;Datos validados por cuenta;Solicitud modificarInfoBasica
